komoditas,tanggal,harga,provinsi
Cabai Rawit,2020-01-01,59500.0,Aceh
Cabai Rawit,2020-01-02,59500.0,Aceh
Cabai Rawit,2020-01-03,59500.0,Aceh
Cabai Rawit,2020-01-06,59500.0,Aceh
Cabai Rawit,2020-01-07,59500.0,Aceh
Cabai Rawit,2020-01-08,58500.0,Aceh
Cabai Rawit,2020-01-09,58500.0,Aceh
Cabai Rawit,2020-01-10,58500.0,Aceh
Cabai Rawit,2020-01-13,58500.0,Aceh
Cabai Rawit,2020-01-14,58500.0,Aceh
Cabai Rawit,2020-01-15,58500.0,Aceh
Cabai Rawit,2020-01-16,58500.0,Aceh
Cabai Rawit,2020-01-17,58500.0,Aceh
Cabai Rawit,2020-01-20,58500.0,Aceh
Cabai Rawit,2020-01-21,58500.0,Aceh
Cabai Rawit,2020-01-22,59650.0,Aceh
Cabai Rawit,2020-01-23,59650.0,Aceh
Cabai Rawit,2020-01-24,59650.0,Aceh
Cabai Rawit,2020-01-27,59650.0,Aceh
Cabai Rawit,2020-01-28,59650.0,Aceh
Cabai Rawit,2020-01-29,59650.0,Aceh
Cabai Rawit,2020-01-30,59650.0,Aceh
Cabai Rawit,2020-01-31,59650.0,Aceh
Cabai Rawit,2020-02-03,59650.0,Aceh
Cabai Rawit,2020-02-04,59650.0,Aceh
Cabai Rawit,2020-02-05,63200.0,Aceh
Cabai Rawit,2020-02-06,63200.0,Aceh
Cabai Rawit,2020-02-07,63200.0,Aceh
Cabai Rawit,2020-02-10,63200.0,Aceh
Cabai Rawit,2020-02-11,63200.0,Aceh
Cabai Rawit,2020-02-12,63200.0,Aceh
Cabai Rawit,2020-02-13,63200.0,Aceh
Cabai Rawit,2020-02-14,63200.0,Aceh
Cabai Rawit,2020-02-17,63200.0,Aceh
Cabai Rawit,2020-02-18,63200.0,Aceh
Cabai Rawit,2020-02-19,59500.0,Aceh
Cabai Rawit,2020-02-20,30000.0,Aceh
Cabai Rawit,2020-02-21,30000.0,Aceh
Cabai Rawit,2020-02-24,30000.0,Aceh
Cabai Rawit,2020-02-25,30000.0,Aceh
Cabai Rawit,2020-02-26,30000.0,Aceh
Cabai Rawit,2020-02-27,30000.0,Aceh
Cabai Rawit,2020-02-28,30000.0,Aceh
Cabai Rawit,2020-03-02,30000.0,Aceh
Cabai Rawit,2020-03-03,30000.0,Aceh
Cabai Rawit,2020-03-04,35000.0,Aceh
Cabai Rawit,2020-03-05,35000.0,Aceh
Cabai Rawit,2020-03-06,35000.0,Aceh
Cabai Rawit,2020-03-09,35000.0,Aceh
Cabai Rawit,2020-03-10,35000.0,Aceh
Cabai Rawit,2020-03-11,35000.0,Aceh
Cabai Rawit,2020-03-12,35000.0,Aceh
Cabai Rawit,2020-03-13,35000.0,Aceh
Cabai Rawit,2020-03-16,35000.0,Aceh
Cabai Rawit,2020-03-17,35000.0,Aceh
Cabai Rawit,2020-03-18,35000.0,Aceh
Cabai Rawit,2020-03-19,35000.0,Aceh
Cabai Rawit,2020-03-20,35000.0,Aceh
Cabai Rawit,2020-03-23,35000.0,Aceh
Cabai Rawit,2020-03-24,30000.0,Aceh
Cabai Rawit,2020-03-25,30000.0,Aceh
Cabai Rawit,2020-03-26,30000.0,Aceh
Cabai Rawit,2020-03-27,30000.0,Aceh
Cabai Rawit,2020-03-30,30000.0,Aceh
Cabai Rawit,2020-03-31,30000.0,Aceh
Cabai Rawit,2020-04-01,27000.0,Aceh
Cabai Rawit,2020-04-02,27000.0,Aceh
Cabai Rawit,2020-04-03,27000.0,Aceh
Cabai Rawit,2020-04-06,27000.0,Aceh
Cabai Rawit,2020-04-07,27000.0,Aceh
Cabai Rawit,2020-04-08,27000.0,Aceh
Cabai Rawit,2020-04-09,27000.0,Aceh
Cabai Rawit,2020-04-10,27000.0,Aceh
Cabai Rawit,2020-04-13,27000.0,Aceh
Cabai Rawit,2020-04-14,27000.0,Aceh
Cabai Rawit,2020-04-15,25000.0,Aceh
Cabai Rawit,2020-04-16,25000.0,Aceh
Cabai Rawit,2020-04-17,25000.0,Aceh
Cabai Rawit,2020-04-20,25000.0,Aceh
Cabai Rawit,2020-04-21,25000.0,Aceh
Cabai Rawit,2020-04-22,25000.0,Aceh
Cabai Rawit,2020-04-23,25000.0,Aceh
Cabai Rawit,2020-04-24,25000.0,Aceh
Cabai Rawit,2020-04-27,25000.0,Aceh
Cabai Rawit,2020-04-28,25000.0,Aceh
Cabai Rawit,2020-04-29,27000.0,Aceh
Cabai Rawit,2020-04-30,27000.0,Aceh
Cabai Rawit,2020-05-01,27000.0,Aceh
Cabai Rawit,2020-05-04,27000.0,Aceh
Cabai Rawit,2020-05-05,27000.0,Aceh
Cabai Rawit,2020-05-06,27000.0,Aceh
Cabai Rawit,2020-05-07,27000.0,Aceh
Cabai Rawit,2020-05-08,27000.0,Aceh
Cabai Rawit,2020-05-11,27000.0,Aceh
Cabai Rawit,2020-05-12,27000.0,Aceh
Cabai Rawit,2020-05-13,27000.0,Aceh
Cabai Rawit,2020-05-14,27000.0,Aceh
Cabai Rawit,2020-05-15,27000.0,Aceh
Cabai Rawit,2020-05-18,27000.0,Aceh
Cabai Rawit,2020-05-19,27000.0,Aceh
Cabai Rawit,2020-05-20,20000.0,Aceh
Cabai Rawit,2020-05-21,20000.0,Aceh
Cabai Rawit,2020-05-22,20000.0,Aceh
Cabai Rawit,2020-05-25,20000.0,Aceh
Cabai Rawit,2020-05-26,20000.0,Aceh
Cabai Rawit,2020-05-27,20000.0,Aceh
Cabai Rawit,2020-05-28,20000.0,Aceh
Cabai Rawit,2020-05-29,20000.0,Aceh
Cabai Rawit,2020-06-01,20000.0,Aceh
Cabai Rawit,2020-06-02,20000.0,Aceh
Cabai Rawit,2020-06-03,25000.0,Aceh
Cabai Rawit,2020-06-04,25000.0,Aceh
Cabai Rawit,2020-06-05,25000.0,Aceh
Cabai Rawit,2020-06-08,25000.0,Aceh
Cabai Rawit,2020-06-09,25000.0,Aceh
Cabai Rawit,2020-06-10,18000.0,Aceh
Cabai Rawit,2020-06-11,18000.0,Aceh
Cabai Rawit,2020-06-12,18000.0,Aceh
Cabai Rawit,2020-06-15,18000.0,Aceh
Cabai Rawit,2020-06-16,18000.0,Aceh
Cabai Rawit,2020-06-17,18000.0,Aceh
Cabai Rawit,2020-06-18,18000.0,Aceh
Cabai Rawit,2020-06-19,18000.0,Aceh
Cabai Rawit,2020-06-22,18000.0,Aceh
Cabai Rawit,2020-06-23,18000.0,Aceh
Cabai Rawit,2020-06-24,18000.0,Aceh
Cabai Rawit,2020-06-25,18000.0,Aceh
Cabai Rawit,2020-06-26,18000.0,Aceh
Cabai Rawit,2020-06-29,18000.0,Aceh
Cabai Rawit,2020-06-30,18000.0,Aceh
Cabai Rawit,2020-07-01,18000.0,Aceh
Cabai Rawit,2020-07-02,18000.0,Aceh
Cabai Rawit,2020-07-03,18000.0,Aceh
Cabai Rawit,2020-07-06,18000.0,Aceh
Cabai Rawit,2020-07-07,18000.0,Aceh
Cabai Rawit,2020-07-08,18000.0,Aceh
Cabai Rawit,2020-07-09,18000.0,Aceh
Cabai Rawit,2020-07-10,18000.0,Aceh
Cabai Rawit,2020-07-13,18000.0,Aceh
Cabai Rawit,2020-07-14,18000.0,Aceh
Cabai Rawit,2020-07-15,18000.0,Aceh
Cabai Rawit,2020-07-16,18000.0,Aceh
Cabai Rawit,2020-07-17,18000.0,Aceh
Cabai Rawit,2020-07-20,18000.0,Aceh
Cabai Rawit,2020-07-21,18000.0,Aceh
Cabai Rawit,2020-07-22,18000.0,Aceh
Cabai Rawit,2020-07-23,18000.0,Aceh
Cabai Rawit,2020-07-24,18000.0,Aceh
Cabai Rawit,2020-07-27,18000.0,Aceh
Cabai Rawit,2020-07-28,18000.0,Aceh
Cabai Rawit,2020-07-29,30000.0,Aceh
Cabai Rawit,2020-07-30,30000.0,Aceh
Cabai Rawit,2020-07-31,30000.0,Aceh
Cabai Rawit,2020-08-03,30000.0,Aceh
Cabai Rawit,2020-08-04,30000.0,Aceh
Cabai Rawit,2020-08-05,35000.0,Aceh
Cabai Rawit,2020-08-06,35000.0,Aceh
Cabai Rawit,2020-08-07,35000.0,Aceh
Cabai Rawit,2020-08-10,35000.0,Aceh
Cabai Rawit,2020-08-11,35000.0,Aceh
Cabai Rawit,2020-08-12,30000.0,Aceh
Cabai Rawit,2020-08-13,30000.0,Aceh
Cabai Rawit,2020-08-14,30000.0,Aceh
Cabai Rawit,2020-08-17,30000.0,Aceh
Cabai Rawit,2020-08-18,30000.0,Aceh
Cabai Rawit,2020-08-19,30000.0,Aceh
Cabai Rawit,2020-08-20,30000.0,Aceh
Cabai Rawit,2020-08-21,30000.0,Aceh
Cabai Rawit,2020-08-24,30000.0,Aceh
Cabai Rawit,2020-08-25,30000.0,Aceh
Cabai Rawit,2020-08-26,30000.0,Aceh
Cabai Rawit,2020-08-27,30000.0,Aceh
Cabai Rawit,2020-08-28,30000.0,Aceh
Cabai Rawit,2020-08-31,30000.0,Aceh
Cabai Rawit,2020-09-01,30000.0,Aceh
Cabai Rawit,2020-09-02,28000.0,Aceh
Cabai Rawit,2020-09-03,28000.0,Aceh
Cabai Rawit,2020-09-04,28000.0,Aceh
Cabai Rawit,2020-09-07,28000.0,Aceh
Cabai Rawit,2020-09-08,28000.0,Aceh
